Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad
2016-12-31,106,174,338,342,173
2017-01-01,88,118,332,350,110
2017-01-02,83,64,384,324,103
2017-01-03,87,74,373,360,103
2017-01-04,91,68,439,296,215
2017-01-05,85,104,318,357,276
2017-01-06,88,171,390,365,158
2017-01-07,106,135,332,346,137
2017-01-08,95,110,283,366,102
2017-01-09,87,105,300,366,96
2017-01-10,130,332,305,318,98
2017-01-11,132,244,337,251,163
2017-01-12,110,246,417,306,236
2017-01-13,91,360,426,350,281
2017-01-14,78,146,439,404,183
2017-01-15,71,103,382,407,164
2017-01-16,66,103,397,455,184
2017-01-17,94,137,330,419,133
2017-01-18,117,142,358,373,126
2017-01-19,87,76,376,394,104
2017-01-20,85,107,334,362,150
2017-01-21,98,86,387,282,156
2017-01-22,98,78,446,352,113
2017-01-23,111,117,379,342,156
2017-01-24,100,125,375,324,151
2017-01-25,168,111,450,368,149
2017-01-26,182,104,340,373,132
2017-01-27,174,68,203,258,100
2017-01-28,210,44,236,138,115
2017-01-29,214,51,252,111,199
2017-01-30,230,58,302,203,129
2017-01-31,97,70,358,328,110
2017-02-01,101,130,317,345,151
2017-02-02,94,89,387,383,102
2017-02-03,207,81,438,360,113
2017-02-04,270,105,407,337,149
2017-02-05,269,149,312,263,164
2017-02-06,273,148,367,238,118
2017-02-07,238,166,263,243,185
2017-02-08,200,183,287,178,180
2017-02-09,69,183,346,286,161
2017-02-10,77,217,314,264,121
2017-02-11,109,186,314,300,115
2017-02-12,80,126,314,358,78
2017-02-13,59,89,298,351,107.5
2017-02-14,71,80,319,327,137
2017-02-15,83,95,382,321,123
2017-02-16,83,125,352,341,158
2017-02-17,95,141,309,378,193
2017-02-18,96,151,301,388,179
2017-02-19,92,142,274,371,141
2017-02-20,90,116,313,309,160
2017-02-21,104,88,310,356,128
2017-02-22,106,92,258,273,161
2017-02-23,99,76,238,223,164
2017-02-24,83,80,449,216,183
2017-02-25,75,69,516,204,165
2017-02-26,73,65,520,224,165
2017-02-27,70,90,363,205,179
2017-02-28,71,108,362,257,197
2017-03-01,71,157,397,339,166
2017-03-02,75,152,280,342,147
2017-03-03,104,123,206,218,142
2017-03-04,57,93,190,214,116
2017-03-05,59,52,210,190,102
2017-03-06,54,59,201,197,106
2017-03-07,59,65,243,211,109
2017-03-08,102,78,267,321,124
2017-03-09,72,93,245,321,181
2017-03-10,66,148,165,202,113
2017-03-11,56,348,102,97,108
2017-03-12,66,63,159,88,117
2017-03-13,55,52,174,144,143
2017-03-14,69,43,270,148,161
2017-03-15,44,80,397,138,95
2017-03-16,54,350,371,173,76
2017-03-17,98,197,328,262,97
2017-03-18,99,87,254,227,146
2017-03-19,95,110,342,226,167
2017-03-20,87,109,367,285,144
2017-03-21,83,59,400,232,145
2017-03-22,74,57,390,303,171
2017-03-23,89,65,417,325,175
2017-03-24,140,80,359,349,148
2017-03-25,104,137,309,329,137
2017-03-26,99,158,292,230,140
2017-03-27,90,131,278,254,164
2017-03-28,82,86,320,335,154
2017-03-29,112,61,350,335,127
2017-03-30,90,80,234,325,114
2017-03-31,112,57,233,299,150
2017-04-01,124,60,341,318,136
2017-04-02,113,65,259,240,123
2017-04-03,117,71,204,212,132
2017-04-04,120,75,220,252,123
2017-04-05,94,67,255,196,103
2017-04-06,110,80,211,174,92
2017-04-07,94,65,428,215,136
2017-04-08,82,80,497,230,128
2017-04-09,75,89,289,298,175
2017-04-10,99,67,285,202,164
2017-04-11,99,117,368,208,192
2017-04-12,78,107,304,186,199
2017-04-13,108,83,377,246,173
2017-04-14,107,76,418,287,165
2017-04-15,106,87,355,194,152
2017-04-16,105,106,416,180,148
2017-04-17,86,111,403,198,173
2017-04-18,77,192,415,254,191
2017-04-19,92,125,412,317,166
2017-04-20,81,184,394,321,131
2017-04-21,75,152,357,239,136
2017-04-22,64,184,291,235,143
2017-04-23,50,210,244,278,156
2017-04-24,59,125,287,290,162
2017-04-25,66,96,254,272,156
2017-04-26,92,93,242,313,151
2017-04-27,87,97,223,304,171
2017-04-28,96,104,243,260,142
2017-04-29,139,99,237,264,127
2017-04-30,65,101,275,302,99
2017-05-01,77,76,183,226,99
2017-05-02,60,64,370,234,110
2017-05-03,84,58,419,309,118
2017-05-04,94,62,317,312,130
2017-05-05,80,76,455,302,138
2017-05-06,89,67,435,346,122
2017-05-07,98,74,468,422,98
2017-05-08,82,72,442,350,131
2017-05-09,69,79,400,237,109
2017-05-10,41,105,223,137,165
2017-05-11,53,79,220,125,123
2017-05-12,68,67,474,205,86
2017-05-13,156,70,479,227,84
2017-05-14,101,94,373,279,107
2017-05-15,52,165,354,319,85
2017-05-16,56,194,349,314,98
2017-05-17,67,139,264,263,102
2017-05-18,70,262,188,146,118
2017-05-19,64,276,294,289,148
2017-05-20,50,165,334,326,126
2017-05-21,59,159,505,288,131
2017-05-22,44,113,349,317,115
2017-05-23,58,137,421,314,130
2017-05-24,62,191,238,312,156
2017-05-25,57,231,204,346,127
2017-05-26,66,167,289,339,119
2017-05-27,47,144,236,210,103
2017-05-28,41,123,148,81,93
2017-05-29,43,90,94,100,76
2017-05-30,46,90,130,74,82
2017-05-31,42,80,123,70,80
2017-06-01,54,91,192,101,79
2017-06-02,52,91,324,182,109
2017-06-03,42,102,357,179,103
2017-06-04,28,120,393,304,84
2017-06-05,29,92,302,321,106
2017-06-06,54,72,239,221,97
2017-06-07,47,95,210,73,74
2017-06-08,51,80,77,106,67
2017-06-09,55,70,89,150,69
2017-06-10,54,77,143,253,68
2017-06-11,51,66,80,190,61
2017-06-12,45,73,92,231,50
2017-06-13,44,60,112,256,63
2017-06-14,59,81,117,306.5,84
2017-06-15,76,69,101,357,75
2017-06-16,65,82,106,407.5,72
2017-06-17,60,84,88,458,94
2017-06-18,57,74,94,323,86
2017-06-19,50,71,150,93,82
2017-06-20,53,76,97,328,83
2017-06-21,70,91,109,183,70
2017-06-22,60,77,124,97,59
2017-06-23,54,79,117.5,111,67
2017-06-24,60,93,111,152,63
2017-06-25,71,75,148,128,60
2017-06-26,138,73,108,78,63
2017-06-27,78,76,73,66,53
2017-06-28,82,71,58,70,60
2017-06-29,76,81,58,80,62
2017-06-30,76,98.5,46,79,61
2017-07-01,92,116,84,89,63
2017-07-02,160,109,54,106,66
2017-07-03,92,92,49,78,66
2017-07-04,85,74,149,61,57
2017-07-05,93,63,212,61,58
2017-07-06,87,77,85,53,57
2017-07-07,97.5,119,77,58,63
2017-07-08,108,94,65,69,66
2017-07-09,112,104,108,64,61
2017-07-10,102,76,78,75,60
2017-07-11,78,92,59,58,60
2017-07-12,67,85,47,43,66
2017-07-13,74,96,39,55,58
2017-07-14,72,84,40,82,53
2017-07-15,82,86,56,96,74
2017-07-16,61,99,65,87,86
2017-07-17,68,80,71,73,93
2017-07-18,68,78,97,78,47
2017-07-19,60,73,118,83,46
2017-07-20,61,70,116,69,48
2017-07-21,111,117,53,83,50
2017-07-22,132,131,30,122,55
2017-07-23,107,77,37,79,71
2017-07-24,109,169,35,80,65
2017-07-25,164,203,37,68,55
2017-07-26,85,221,32,66,62
2017-07-27,83,164,41,149,60
2017-07-28,122,85,42,84,56
2017-07-29,119,74,47,85,55
2017-07-30,94,81,30,78,63
2017-07-31,89,73,29,64,69
2017-08-01,136,82,44,57,60
2017-08-02,130,144,40,76,61
2017-08-03,160,120,49,78,51
2017-08-04,55,84,50,125,49
2017-08-05,106,149,88,156,67
2017-08-06,127,202,99,158,75
2017-08-07,176,96,110,126,90
2017-08-08,143,96,68,80,83
2017-08-09,74,71,73,70,80
2017-08-10,50,48,95,146,71
2017-08-11,56,61,58,126,65
2017-08-12,50,82,45,84,67
2017-08-13,67,55,49.6666666666667,81,55
2017-08-14,82,80,54.3333333333333,175,60
2017-08-15,70,86,59,134,58
2017-08-16,65,101,53,97,63
2017-08-17,70,99,66,172,70
2017-08-18,64,76,70,129,85
2017-08-19,57,79.5,70,66,65
2017-08-20,63,83,63,110,59
2017-08-21,48,86.5,42,72,62
2017-08-22,63,90,47.3333333333333,75,60
2017-08-23,62,86,52.6666666666667,75,62
2017-08-24,68,91,58,73,72
2017-08-25,172,91,104,76,72
2017-08-26,91,81,97.8,63,55
2017-08-27,39,81,91.6,56,52
2017-08-28,47,109,85.4,50,56
2017-08-29,57,127,79.2,41,56
2017-08-30,56,92,73,55,56
2017-08-31,69,93,94,108,60
2017-09-01,200,84,91,70,71
2017-09-02,135,86,88,72,87
2017-09-03,107,93,88,66,64
2017-09-04,74,82,89,83,59
2017-09-05,79,136,88,73,79
2017-09-06,101,104,88,84,86
2017-09-07,60,78,88,77,82
2017-09-08,75,82,106,96,74
2017-09-09,114,84,96,95,72
2017-09-10,57,73,118,116,60
2017-09-11,68,64,119,171,51
2017-09-12,68,68,106,163,55
2017-09-13,59,79,115,153,55
2017-09-14,63,73,142,173,60
2017-09-15,52,77,169,120,56
2017-09-16,49,77,110,79,56
2017-09-17,40,77,106,76,39
2017-09-18,43,67,99,75,53
2017-09-19,44,68,109,141,54
2017-09-20,52,67,137,61,57
2017-09-21,51,71,144,67,59
2017-09-22,51,87,92,176,58
2017-09-23,76,98,83,59,54
2017-09-24,76,137,84,79,95
2017-09-25,57,156,104,76,99
2017-09-26,65,116,131,89,80
2017-09-27,83,104,165,151,107
2017-09-28,56,106,176,160,98
2017-09-29,58,81,172,140,74
2017-09-30,61,78,137,135,70
2017-10-01,66,66,131,140,110
2017-10-02,69,62,132,115,81.5
2017-10-03,62,58,115,122,53
2017-10-04,125,62,151,100,102
2017-10-05,126,78,180,95,164
2017-10-06,80,68,183,103,102
2017-10-07,70,75,193,138,94
2017-10-08,104,75,224,188,100
2017-10-09,83,77,268,165,111
2017-10-10,130,89,253,207,103
2017-10-11,79,94,208,200,113
2017-10-12,71,86,211,182,102
2017-10-13,61,146,246,259,147
2017-10-14,67,90,319,311,123
2017-10-15,73,83,317,308,97
2017-10-16,58,77,310,319,125.5
2017-10-17,64,76,313,348,154
2017-10-18,98,277,310,354,150
2017-10-19,98,431,336,330,151
2017-10-20,177,213,497,362,247
2017-10-21,129,72,404,265,141
2017-10-22,79,70,338,339,121
2017-10-23,80,114,327,391,113
2017-10-24,94,115,366,353,111
2017-10-25,96,100,357,363,117.8
2017-10-26,75,68,328,379,124.6
2017-10-27,66,70,345,343,131.4
2017-10-28,80,83,379,338,138.2
2017-10-29,98,113,362,333,145
2017-10-30,102,88,340,344,130
2017-10-31,120,75,366,237,128
2017-11-01,141,99,344,312,150
2017-11-02,120,70,305,323,156
2017-11-03,159,62,310,354,158
2017-11-04,125,66,345,369,114
2017-11-05,59,58,370,388,91
2017-11-06,49,68,377,339,80
2017-11-07,68,68,532,362,94
2017-11-08,54,74,675,425,105
2017-11-09,70,70,677,495,95
2017-11-10,75,103,597,503,100
2017-11-11,77,146,471,463,123
2017-11-12,69,163,613,386,123
2017-11-13,65,110,561,454,111
2017-11-14,68,91,444,581,111
2017-11-15,66,68,378,444,104
2017-11-16,76,96,357,360,92
2017-11-17,81,108,330,361,82
2017-11-18,64,82,309,341,106
2017-11-19,68,62,297,360,112
2017-11-20,62,69,329,324,86
2017-11-21,60,61,341,316,106
2017-11-22,65,64,348,350,102
2017-11-23,87,126,340,344,133
2017-11-24,82,158,348,336,149
2017-11-25,72,184,347,342,140
2017-11-26,69,136,368,360,147
2017-11-27,58,87,382,342,166
2017-11-28,58,71,360,385,171
2017-11-29,82,75,359,364,164
2017-11-30,68,69,388,411,140
2017-12-01,53,57,377,434,139
2017-12-02,26,71,356,387,135
2017-12-03,54,90,384,389,140
2017-12-04,68,86,415,366,144
2017-12-05,63,76,404,366,128
2017-12-06,83,70,330,369,100
2017-12-07,96,143,215,351,122
2017-12-08,120,175,220,240,145
2017-12-09,148,156,312,310,142
2017-12-10,133,163,389,389,120
2017-12-11,143,153,406,354,117
2017-12-12,86,126,280,339,144
2017-12-13,75,93,263,352,143
2017-12-14,86,81,276,328,132
2017-12-15,122,95,292,328,126
2017-12-16,119,107,228,325,133
2017-12-17,100,102,195,293,136
2017-12-18,108,97,223,341,140
2017-12-19,112,91,291,417,138
2017-12-20,110,78,378,543,151
2017-12-21,131,93,467,486,164
2017-12-22,93,109,370,383,195
2017-12-23,91,89,253,337,180
2017-12-24,70,83,309,339,169
2017-12-25,91,88,398,395,163
2017-12-26,174,113,372,371,164
2017-12-27,99,186,379,425,136
2017-12-28,109,148,398,460,132
2017-12-29,85,95,399,443,184
2017-12-30,77,108,421,362,156
2017-12-31,72,77,451,387,138
2018-01-01,73,89,462,356,122
2018-01-02,86,94,439,320,126
2018-01-03,84,105,405,406,163
2018-01-04,86,184,394,389,174
2018-01-05,95,176,398,398,164
2018-01-06,102,158,403,359,158
2018-01-07,104,136,384,387,146
2018-01-08,93,124,314,431,146
2018-01-09,84,121,373,408,160
2018-01-10,75,96,366,398,165
2018-01-11,76,179,318,393,160
2018-01-12,115,156,306,427,155
2018-01-13,101,258,370,432,150
2018-01-14,118,207,365,420,140
2018-01-15,98,147,352,398,143
2018-01-16,92,134,278,359,132
2018-01-17,98,161,350,363,125
2018-01-18,100,129,411,368,129
2018-01-19,104,164,451,433,129
2018-01-20,122,140,351,391,131
2018-01-21,103,180,310,355,133
2018-01-22,96,167,362,384,142
2018-01-23,102,149,343,426,125
2018-01-24,104,164,286,346,121
2018-01-25,101,187,267,324,139
2018-01-26,98,172,263,333,146
2018-01-27,104,161,284,344,167
2018-01-28,109,165,334,357,138
2018-01-29,94,155,332,373,140
2018-01-30,99,148,300,344,137
2018-01-31,109,159,271,295,130
2018-02-01,94,135,293,324,129
2018-02-02,118,167,318,321,125
2018-02-03,88,164,277,370,114
2018-02-04,87,123,284,370,104
2018-02-05,81,79,313,312,111
2018-02-06,85,94,324,323,111
2018-02-07,79,78,287,322,125
2018-02-08,80,78,334,299,114
2018-02-09,95,107,375,290,108
2018-02-10,83,113,378,286,113
2018-02-11,76,131,350,266,100
2018-02-12,74,88,218,267,102
2018-02-13,78,130,189,239,94
2018-02-14,71,138,217,247,100
2018-02-15,71,99,189,301,113
2018-02-16,70,119,248,359,110
2018-02-17,77,113,277,398,108
2018-02-18,83,133,284,358,116
2018-02-19,82,150,321,386,111
2018-02-20,81,118,335,313,103
2018-02-21,80,146,347,332,107
2018-02-22,82,118,333,394,114
2018-02-23,83,95,331,389,123
2018-02-24,81,88,347,382,106
2018-02-25,69,73,317,348,104
2018-02-26,68,76,170,317,118
2018-02-27,71,117,167,181,134
2018-02-28,81,182,274,202,129
2018-03-01,83,234,293,264,124
2018-03-02,87,138,300,236,118
2018-03-03,92,115,244,202,119
2018-03-04,84,113,205,227,122
2018-03-05,86,93,180,187,114
2018-03-06,87,83,170,250,106
2018-03-07,90,113,192,288,108
2018-03-08,99,174,262,340,107
2018-03-09,104,126,316,297,118
2018-03-10,109,128,207,249,122
2018-03-11,106,128,179,219,124
2018-03-12,92,118,236,247,95
2018-03-13,76,153,241,247,88
2018-03-14,75,74,287,317,103
2018-03-15,77,69,314,331,96
2018-03-16,71,78,269,233,115
2018-03-17,74,81,218,273,105
2018-03-18,53,89,177,142,80
2018-03-19,61,88,177,196,93
2018-03-20,97,108,224,225,103
2018-03-21,124,115,302,245,108
2018-03-22,135,93,226,273,126
2018-03-23,127,94,171,218,128
2018-03-24,100,127,183,197,131
2018-03-25,98,117,202,198,135
2018-03-26,100,109,203,151,126
2018-03-27,87,109,246,137,123
2018-03-28,97.3333333333333,90,293,214,116
2018-03-29,107.666666666667,70,238,271,122
2018-03-30,118,69,234,256,120
2018-03-31,104,75,269,201,110
2018-04-01,102,86,217,106,103
2018-04-02,107,67,217,204,84
2018-04-03,98,68,239,300,99
2018-04-04,108,71,244,319,101
2018-04-05,107,81,329,252,92
2018-04-06,108,103,271,153,98
2018-04-07,106,84,170,143,93
2018-04-08,103,62,142,102,85
2018-04-09,93,70,133,146,95
2018-04-10,91.3333333333333,66,205,126,98
2018-04-11,89.6666666666667,66,179,132,88
2018-04-12,88,61,135,97,83
2018-04-13,65,63,201,91,83
2018-04-14,62,61,233,97,79
2018-04-15,65,59,240,113,73
2018-04-16,61,61,296,180,100
2018-04-17,70,62,266,240,99
2018-04-18,67,56,216,217,93
2018-04-19,81,71,242,162,108
2018-04-20,85,65,271,231,117
2018-04-21,79,66,444,207,122
2018-04-22,74,55,302,194,117
2018-04-23,66,65,197,156,90
2018-04-24,82,76,242,160,90
2018-04-25,74,78,287,236,104
2018-04-26,83,89,329,281,94
2018-04-27,103,74,351,226,101
2018-04-28,82,62,288,195,94
2018-04-29,81,59,259,197,102
2018-04-30,100,68,221,162,103
2018-05-01,352,92,173,98,116
2018-05-02,114,112,161,108,101
2018-05-03,98,111,167,170,98
2018-05-04,73,127,146,94,81
2018-05-05,144,128,174,126,74
2018-05-06,99,77,280,196,83
2018-05-07,151,75,243,209,93
2018-05-08,113,77,252,353,111
2018-05-09,76,94,168,322,112
2018-05-10,65,80,218,250,101
2018-05-11,59,70,292,324,95
2018-05-12,62,74,330,336,96
2018-05-13,60,77,285,301,101
2018-05-14,69,71,174,476,100
2018-05-15,64,79,173,164,87
2018-05-16,61,81,194,204,85
2018-05-17,65,82,240,301,106
2018-05-18,92,70,254,289,89
2018-05-19,98,81,270,287,103
2018-05-20,80,66,231,318,117
2018-05-21,71,64,208,426,132
2018-05-22,90,82,207,357,120
2018-05-23,117,84,306,257,110
2018-05-24,70,73,303,291,104
2018-05-25,73,64,260,250,119
2018-05-26,76,65,244,242,91
2018-05-27,89,79,268,273,83
2018-05-28,80,77,276,269,87
2018-05-29,67,88,303,246,84
2018-05-30,60,82,272,214,89
2018-05-31,73,85,223,174,93
2018-06-01,68,98,196,139,110
2018-06-02,86,124,183,151,82
2018-06-03,88,98,154,179,83
2018-06-04,60,83,170,225,89
2018-06-05,61,86,160,219,83
2018-06-06,63,79,146,175,84
2018-06-07,70,66,166,127,69
2018-06-08,50,71,180,161,68
2018-06-09,52,67,153,108,64
2018-06-10,51,73,153,133,52
2018-06-11,65,73,186,107,53
2018-06-12,50,88,285,125,70
2018-06-13,49,88,453,147,84
2018-06-14,61,91,522,181,86
2018-06-15,83,97,593,240,86
2018-06-16,106,114,531,301,67
2018-06-17,55,86,384,321,67
2018-06-18,69,99,179,279,59
2018-06-19,81,90,146,179,50
2018-06-20,69,104,175,186,58
2018-06-21,64,107,221,228,52
2018-06-22,64,107,249,215,56
2018-06-23,66,102,228,229,56
2018-06-24,64,109,194,157,41
2018-06-25,87,101,168,116,41
2018-06-26,92,112,128,184,41
2018-06-27,60,133,126,136,44
2018-06-28,57,127,99,124,46
2018-06-29,51,98,90,93,65
2018-06-30,66,135,113,83,62
2018-07-01,72,150,102,125,60
2018-07-02,63,150,111,117,53
2018-07-03,63,159,122,111,59
2018-07-04,60,93,128,81,71
2018-07-05,61,97,130,74,68
2018-07-06,65,128,147,110,49
2018-07-07,56,135,155,195,59
2018-07-08,62,80,176,174,62
2018-07-09,66,106,168,132,44
2018-07-10,63,103,140,88,48
2018-07-11,78,97,111,100,54
2018-07-12,56,77,130,89,49
2018-07-13,53,84,109,90,37
2018-07-14,57,76,96,95,42
2018-07-15,62,92,92,101,58
2018-07-16,59,79,95,90,72
2018-07-17,60,66,105,84,38
2018-07-18,57,69,114,75,33
2018-07-19,59,79,106,125,45
2018-07-20,52,71,90,94,37
2018-07-21,59,70,114,71,41
2018-07-22,60,87,87,77,55
2018-07-23,65,101,80,76,49
2018-07-24,64,87,101,80,54
2018-07-25,59,68,90,78,52
2018-07-26,65,63,90,77,54
2018-07-27,68,63,68,72,54
2018-07-28,59,95,71,83,53
2018-07-29,66,97,100,99,72
2018-07-30,64,78,122,73,87
2018-07-31,62,93,135,84,73
2018-08-01,66,80,155,41,72
2018-08-02,68,91,215,55,72
2018-08-03,72,71,228,75,92
2018-08-04,77,79,215,99,90
2018-08-05,77,107,234,210,66
2018-08-06,67,123,166,204,72
2018-08-07,67,96,123,183,54
2018-08-08,60,57,108,99,53
2018-08-09,58,54,102,80,49
2018-08-10,60,63,111,96,48
2018-08-11,56,87,106,94,43
2018-08-12,57,60,92,77,47
2018-08-13,53,60,102,80,42
2018-08-14,60,71,122,73,41
2018-08-15,59,61,128,122,65
2018-08-16,52,53,109,55,40
2018-08-17,48,76,109,60,35
2018-08-18,57,126,90,123,44
2018-08-19,59,111,100,144,48
2018-08-20,53,152,138,69,47
2018-08-21,69,148,105,82,34
2018-08-22,65,161,91,89,39
2018-08-23,63,74,86,97,40
2018-08-24,62,71,89,88,48
2018-08-25,67,106,100,78,52
2018-08-26,70,81,85,163,50
2018-08-27,62,70,82,183,48
2018-08-28,64,62,81,72,48
2018-08-29,68,58,88,81,53
2018-08-30,68,89,97,72,68
2018-08-31,64,83,127,57,77
2018-09-01,68,65,132,63,70
2018-09-02,66,84,116,69,50
2018-09-03,63,83,89,61,48
2018-09-04,76,87,118,83,50
2018-09-05,78,111,108,107,72
2018-09-06,66,93,137,101,76
2018-09-07,70,108,117,94,82
2018-09-08,63,118,105,87,62
2018-09-09,64,115,86,90,79
2018-09-10,73,68,92,92,86
2018-09-11,90,79,91,101,79
2018-09-12,91,70,96,96,71
2018-09-13,88,86,108,76,78
2018-09-14,94,161,113,84,85
2018-09-15,77,112,126,100,92
2018-09-16,73,97,124,103,101
2018-09-17,74,96,135,130,85
2018-09-18,65,92,154,123,68
2018-09-19,65,80,157,172,79
2018-09-20,79,92,173,173,81
2018-09-21,87,109,155,116,91
2018-09-22,77,108,76,64,62
2018-09-23,87,89,69,82,65
2018-09-24,85,111,63,124,62
2018-09-25,78,107,63,109,84
2018-09-26,85,93,99,93,108
2018-09-27,80,111,151,102,95
2018-09-28,78,54,200,132,92
